participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0169437d-04d3-489d-8af3-4603d483de81.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-28-10-30,2024-07-28-10-30,"",""
s.064a8509-31eb-4dfb-99dd-e986cffaace5.txt,0872024,24,1,1,"Psychologie, 7",1,"","",Pseudowörter_mitTopUp.2024-07-23-1429.data.064a8509-31eb-4dfb-99dd-e986cffaace5.txt,1,"",4,2,2,4,1,3,5,2,wütend war knapper/kürzer und mit mehr Nachdruck. ängstlich war oft etwas zittrig und eher fragend,U,H,B,5,2,M,"",2024-06-23-14-05,2024-07-23-14-05,2024-07-23-14-32,27
s.083d53b0-69dc-4f44-8dfe-18815eb70e6b.txt,0872024,30,1,1,B.Sc. Psychologie,1,"","",Pseudowörter_mitTopUp.2024-07-29-2121.data.083d53b0-69dc-4f44-8dfe-18815eb70e6b.txt,1,nein,4,3,2,5,1,4,5,1,nach Gefühl,h,m,H,9,6,l,"",2024-06-29-20-58,2024-07-29-20-58,2024-07-29-21-26,28
s.09ac69ad-28b7-41c4-b599-35e82d27b044.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-17-11-15,2024-07-17-11-15,"",""
s.09ff91e6-a3ec-4175-ad2a-c260e2026a7a.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-24-19-02,2024-07-24-19-02,"",""
s.0c4d13a4-e932-4bcd-b8d8-773fdb537baa.txt,"",27,2,1,Industriekaufmann,1,"","","","","","","","","","","","","","","","","","","","","",2024-06-13-09-14,2024-07-13-09-14,"",""
s.0d0e57cc-f14a-4fd4-9754-39cdfa7516da.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-10-22-35,2024-07-10-22-35,"",""
s.0e495f92-bb80-4451-9a4f-b403eda7b7e6.txt,0872024,24,1,1,Psychologie 8.Semester BSc,1,"","",Pseudowörter_mitTopUp.2024-07-10-1729.data.0e495f92-bb80-4451-9a4f-b403eda7b7e6.txt,1,Ich fand alles verständlich und nachvollziehbar,2,2,1,5,1,2,5,3,Ein bisschen nach Wackligkeit der Stimme und ob am Ende die Tonlage nach oben ging oder nicht,E,I,F,2,5,N,"",2024-06-10-17-06,2024-07-10-17-07,2024-07-10-17-32,25
s.1090d946-2ff1-4ef1-8382-844f3d663343.txt,0872024,25,1,1,"Psychologie (HF, 4)",1,"","",Pseudowörter_mitTopUp.2024-07-09-1702.data.1090d946-2ff1-4ef1-8382-844f3d663343.txt,2,was zu tun war wenn keine stimmen abgespielt wurden,4,3,3,4,3,2,5,2,"ein bisschen wenn mehr ,,schwung"" hinter den stimmen war dann wütend",l,l,G,0,1,o,"",2024-06-09-16-38,2024-07-09-16-38,2024-07-09-17-06,28
s.113229f9-6cca-452c-be8c-129cfe731a84.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-19-16-52,2024-07-19-16-52,"",""
s.11f28c2a-dbc6-4077-9613-dfd1df6b31a9.txt,0872024,21,1,1,"BA Soziologie/Psychologie, 6. FS",1,"","",Pseudowörter_mitTopUp.2024-07-09-1936.data.11f28c2a-dbc6-4077-9613-dfd1df6b31a9.txt,1,"gab keine Probleme, manchmal je nach Wortlaut nur unterschiedlich zu differenzieren",4,2,4,3,1,2,4,1,Bewertung nur nach Klang/Lautstärke der Stimme und Betonung der Wörter,A,O,D,1,8,E,"",2024-06-09-19-17,2024-07-09-19-16,2024-07-09-19-39,23
s.1395bb2e-5108-4ae4-b13f-079834891e4e.txt,0872024,32,1,1,Sozialpädagogin,1,"","",Pseudowörter_mitTopUp.2024-07-17-1148.data.1395bb2e-5108-4ae4-b13f-079834891e4e.txt,1,"-alle Instruktionen waren sinnhaft und klar formuliert, sehr gut zu verstehen",5,3,2,5,1,4,5,1,"Ich habe versucht, mich darauf zu konzentrieren, wie ""hart"" oder ""weich"" das jeweilige Pseudowort für mich klang. Ebenso spielte die Lautstärke der Stimme eine entscheidende Rolle bei meiner Bewertung. Zeitweise habe ich versucht, mich besser zu konzentrieren, indem ich meine Augen geschlossen habe.","","","","","","","",2024-06-17-11-19,2024-07-17-11-19,2024-07-17-11-53,34
