"","S4.participant","S4.VPN_Code","S4.Anmerkungen","S4.InstructionsClear","S4.Strategy"
"1","87e309ff","AED82I","","- alles verständlich ","- ich habe versucht, auf die betonung zu achten"
"2","5cadbb91","ORF40A","","alles verständlich","keine Strategie"
"3","7ff4d69d","AYS35A","","Sehr verständlich und einfach im umgang ","keine strategie "
"4","30e4ef64","ERB88O","","Ich fand die Stimmen schwer zu unterscheiden, aber alles war verstädnlich","nach gefühl"
"5","ef763432","INP82A","","nein","Augen geschlossen und auf Stimmklang konzentriert~~"
"6","61ffca41","EOB47I","","","stimmlage, aussprache und betonung"
"7","588253d0","ANM05E","","-alles verständlich~~- manchmal viel die Entscheidung schwer~~- 2. Teil war eine Person gefühlt sehr viel vertreten","- hab auf mein Gefühl gehört, es gab keine wirkliche Strategie~~- ich bilde mir aber ein mit der Zeit ein besseres Gefühl für die Stimmen zu bekommen"
"8","c25d0cb4","ATL21E","","Ich fand die Zuordnung (F = unterschiedlich, J = dieselbe) irgednwie nicht so intuitiv.","einfach hingehört, gefühlt fiel es leichter wenn die Lautstärke ähnlich war zu erkennen, bisschen auf den Unterton geachtet / Stimmfarbe (rau, älter, jünger)"
"9","8191ae3d","AWH59H","","Die Instruktion war verständlich. Ich war häufig unsicher bei der Entscheidung ob es eine oder verschiedene personen waren","Wenn es eine ruhigere Betonung gab, war es einfacher sie mit der nicht ganz so erregten abzugleichen. Ansonsten hatte ich den Eindruck, dass es phasen gab, wo es viele Beispiele mit unterschiedlichen Personen gab und Phasen mit den gleichen."
"10","f83dff88","AIJ49Ä","","am Anfang wusste ich erst nicht mehr genau, welche Taste ich wofür drücken musste",""
"11","aab0eff5","HTZ83A","","Instruktionen waren verständlich","- die erste Stimme hat einen Charakter vorgebeben, gegen den ich dann die zweite Stimme abgeglichen habe~~- z.T. war auch weniger die Stimmfarbe, als viel mehr die Betonung und der Sprechfluss ausschlaggebend"
"12","59427ba5","ERN17I","","alles war verständlich","besonders bei den Frauenstimmen habe ich versucht zu überlegen, ob die Stimmen zur selben Person gehören, aber digital verlagsamt wurden"
"13","c7199829","LEB60N","Bei mir hat das ausprobieren der Kopfhörer (links und rechts) auf der ersten Seite nicht funktioniert. Aber im Experiment war alles in Ordnung. Nur falls das Problem bei den Testknöpfen und nicht bei mir lag","Instruktionen waren verständlich","keine wirkliche Strategie, auf Ähnlichkeit in Stimmfarbe und Ausdruck geachtet"
"14","a183821e","AHK22L","","",""
"15","dae15f36","LND42N","","ich konnte gut folgen. war sehr gut erklärt","ich hab oft die augen geschlossen um mich besser konzentrieren zu können, ich habe nach ähnlichkeiten in der stimme und aussprache gehört, oder auf die art der aufnahme geachtet "
"16","f50b021b","ALZ33O","","Alles war gut verständlich","Nach einigen Durchläufen habe ich mehr auf die Klangfarbe geachtet und somit vielleicht öfter die zwei Hörproben dersselben Person zugeordnet"
"17","8aa80837","OHB74E","","Verständliche Instruktionen; keine Unsicherheiten bezüglich der Aufgabe","Ich habe die Augen geschlossen und die Klangfarbe der Stimme bewertet. Ich habe mir Szenen und Personen zu den Stimmen vorgestellt."
"18","110589f4","UHH52O","","Manchmal schwierig, da es teilweise wie die gleiche Stimme wirkte, bloß verzerrt/mit einem Filter; ist das dann schon eine ""andere"" Stimme oder nicht, da es ja die ""gleiche"" Person ist",""
"19","b55bfc72","ACB52R","","- es war verständlich","- ich habe versucht, zwischen den verschiedenen Stimmen zu diskriminieren, fand es aber schwierig, wenn diese länger gezogen wurden oder sich die Frequenz geändert hat"
"20","c9c6e321","TSK86N","","war verständlich und eindeutig","keine Strategie, auf das Bauchgefühl gehört"
"21","f2609824","ASB07E","","nein",""
"22","e05ec215","EUH84I","","",""
"23","55f71196","EBA21E","","sehr verstädnlich, aber bisschen creepy Stimmen teilweise","sehr konzentriert auf Stimmfarbe gehört"
"24","955422d5","ASS91A","","die Instruktionen waren gut verständlich","- gehört ob die Silben gleich ausgesprochen wurden"
"25","2cc35234","AJW12A","","Nein, alles so wie beschrieben.","Ob die Stimmfarbe ähnlich war."
"26","18b87c91","EGW22A","","Die teils unterscheidet Lautstärken (oder wahrgenommenen Entfernung der Stimme) waren etwas irritierend ","Kadenz, Aussprache und Tonhöhe bzw. Tonart"
"27","a6597cb3","ARS56E","","Nein","Keine"
"28","b3602eb6","ERL92A","","",""
"29","40e09e49","AOB86E","","nein nichts","nach der art und weise wie estwas gesprochen und betont wurde"
"30","be622231","NNP33T","","Alle Instruktionen waren klar verständlich. Die Pseudowörter wurden so abgehackt abgespielt, dass ich teilweise nur ein Wort verstanden hab. Insgesamt hatte ich nicht das Gefühl, gut unterscheiden zu können, weil die technische Qualität nicht gepasst hat","keine"
"31","9392218e","ONF00A","Stimmen sind leider ziemlich abgehackt, von manchen Wörtern hört man nur die letzte Silbe","obwohl es Pseudowörter waren, waren diese teilweise abgehackt - man konnte teilweise nur das Ende der Wörter verstehen~~unterschiedliche Lautstärke und Tonqualität erschwert die Kategorisierung","keine wirkliche Strategie~~je länger ich über die Kategorisierung nachdachte, desto schwerer fiel sie mir, da ich die Stimmen sehr schnell vergass"
"32","85f7b2b6","YHP91A","","war verständlich","nein"
"33","72c6b93e","UAH86E","","zwischen sehr unterschiedlich emotinalen Ausdrücken war ich immer verwirrt","Ich habe keine Strategie entwicklelt, nur Intuition."
"34","a51e3ce4","RPA70A","","ja sehr verständlcih~~",""
"35","c4c11be2","EOC08L","","nein","umso unterschiedlicher die Emotionen, desto deutlicher habe ich versucht hinzuhören"
