participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0153ff9c-5934-40ab-8299-600d5100f5f4.txt,02072024,21,1,1,"Psychologie, 2",1,"","","","","","","","","","","","","","","","","","","","","",2024-06-04-16-43,2024-07-04-16-43,"",""
s.028fab24-1b9c-4081-bdc7-4ff566305ce6.txt,02072024,21,1,1,"Psychologie (HF,4)",3,leichten Tinnitus,1,Identitäten_mitTopUp.2024-07-05-1034.data.028fab24-1b9c-4081-bdc7-4ff566305ce6.txt,1,"",2,3,2,5,1,3,4,3,Nach Gefühl,E,L,E,3,7,I,"",2024-06-05-10-11,2024-07-05-10-11,2024-07-05-10-37,26
s.0ae13606-e516-42c4-8dae-9720d96c7091.txt,02072024,24,3,1,"Soziologie (HF), Psychologie (NF), 4.FS",1,"","",Identitäten_mitTopUp.2024-07-04-1846.data.0ae13606-e516-42c4-8dae-9720d96c7091.txt,1,"",4,2,1,4,1,4,4,1,"",L,I,B,2,9,A,"",2024-06-04-18-22,2024-07-04-18-22,2024-07-04-18-49,27
s.0c68519f-e875-42f7-aab2-b5971da9f404.txt,02072024,22,1,1,"Psychologie B. Sc. (HF), 6. Fachsemester",1,"","",Identitäten_mitTopUp.2024-07-04-1902.data.0c68519f-e875-42f7-aab2-b5971da9f404.txt,1,Alles war klar verständlich.,3,3,4,4,3,2,4,3,"Stimmhöhe/-tiefe, Betonung (vorne oder hinten), Vokale",A,C,E,5,9,N,"",2024-06-04-18-40,2024-07-04-18-40,2024-07-04-19-07,27
s.0d69cbec-3a19-4c18-b4f4-155b2da315bb.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-04-13-10,2024-07-04-13-10,2024-07-04-13-10,0
s.0d7d8871-6037-48dc-8595-1b4f8bcbdfdc.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-05-19-08,2024-07-05-19-08,"",""
s.12a6e149-9113-40cf-a4d9-47a0d044d28f.txt,02072024,20,1,1,"Psychologie HF, 4. Semester",1,"","","","","","","","","","","","","","","","","","","","","",2024-06-03-11-18,2024-07-03-11-18,"",""
s.13b0bffd-17c5-4cf9-8d16-689c09bd85d4.txt,02072024,20 ,1,1,Psychologie Bsc,1,"","",Identitäten_mitTopUp.2024-07-03-2237.data.13b0bffd-17c5-4cf9-8d16-689c09bd85d4.txt,1,alles gut,4,2,2,3,2,2,3,2,zitternde stimme~~dynamik,A,Ö,S,0,4,N,"",2024-06-03-22-16,2024-07-03-22-16,2024-07-03-22-40,24
s.18cf0956-bfe9-465a-bd6c-b0524f232c90.txt,02072024,27,1,1,"HF Psychologie, 4",1,"","",Identitäten_mitTopUp.2024-07-04-1717.data.18cf0956-bfe9-465a-bd6c-b0524f232c90.txt,1,"",3,4,2,5,2,5,5,2,"",E,P,L,0,7,R,"",2024-06-04-16-57,2024-07-04-16-57,"",""
s.20626ac0-9f7a-4844-8649-d1f4a011a7f5.txt,02072024,18,1,1,"Psychologie (HF, 2. Fachsemester)",1,"","",Identitäten_mitTopUp.2024-07-03-1100.data.20626ac0-9f7a-4844-8649-d1f4a011a7f5.txt,1,Nein,5,4,3,4,2,3,4,1,"Die Länge, die Kraft und das Zittern in der Stimme",L,E,R,0,9,A,"",2024-06-03-10-38,2024-07-03-10-38,2024-07-03-11-07,29
