"","S2.participant","S2.VPN_Code","S2.Anmerkungen","S2.InstructionsClear","S2.Strategy"
"1","66305ce6","ELE37I",NA,"","Nach Gefühl"
"2","d96c7091","LIB29A",NA,"",""
"3","1da9f404","ACE59N",NA,"Alles war klar verständlich.","Stimmhöhe/-tiefe, Betonung (vorne oder hinten), Vokale"
"4","09bd85d4","AÖS04N",NA,"alles gut","zitternde stimme~~dynamik"
"5","4f232c90","EPL07R",NA,"",""
"6","a011a7f5","LER09A",NA,"Nein","Die Länge, die Kraft und das Zittern in der Stimme"
"7","ccd638e8","NHA20C",NA,"",""
"8","69c08da5","ISH17N",NA,"alles in Ordnung","Stimmlage zittrig, nach oben, dünn, fragend -> ängstlich~~Stimmlage kräftig, eher nach unten, fest, nachdrücklich/fordernd -> wütend"
"9","843c3275","AGG12I",NA,"","keine wirkliche Strategie entwickelt "
"10","bc0706c1","IRB13L",NA,"war alles gut verständlich","bei Stimmen die am Ende eher hoch geworden sind, eher ängstlich angeklickt"
"11","2f281757","HÖL77E",NA,"es war alles gut verständlich ","keine Strategie "
"12","ca67b227","NANA",NA,"- instruktionen verständlich","- zitterige stimme~~- lang gezogene vokale für ängstlich~~- schroffe und kurz ausgesprochene vokale für wütned~~- kleine Geschichten im Kopf ausgedacht in welche die gerade abgespielte Stimme passen könnte"
"13","12ffed70","IÜW28A",NA,"Nope war alles verständlich. Der zweite Teil des Experiments war ein wenig ungewohnt, die Beschreibung bereitete mich nicht gut darauf vor.",""
"14","212b487f","NRP64A",NA,"","ich habe nur wütend bewertet, wenn es für mich eindeutig wütend klang, sonst habe ich es als ängstlich bewertet"
"15","1b4eb1e3","ahs44r",NA,"",""
"16","862b845d","UIK43U",NA,"nein mir kam nichts komisch vor","Bei den Durchgängen mit dem vorherigen roten Kreuz konnte man sich gut an den Emotionen in den ""roten"" Durchgängen orientieren, da diese ziemlich eindeutig waren"
"17","a9707b32","APM98I",NA,"alles verständlich","keine Strategie"
"18","85a572ac","ICN31I",NA,"NEIN","KEINE"
"19","099d2edc","ALE37O",NA,"","Stimmhebung/senkung, Zittern in der Stimme als Indikatoren; Klangvoll vs. kehliger Klang"
"20","73a9865a","ISG94E",NA,"Nein, war alles gut verständlich erklärt und hat alles funktioniert","zum Teil habe ich mich an der Tonhöhe orientiert oder auch an der Lautstärke oder daran, wie der Stimmenverlauf war - ob sie zum ende hin lauter oder leiser wurde"
"21","7c1c9f65","IDD19E",NA,"Nein, die Instruktion war super :).","- Tonhöhe~~- Stimmfarbe~~- tlw. bildhafte Vorstellung in welcher Situation die Stimme passen könnte"
