"","S5.participant","S5.VPN_Code","S5.Anmerkungen","S5.InstructionsClear","S5.Strategy"
"1","0a43d5b6","LIB12A","","Instruktionen waren verständlich ~~","Am Ende habe ich primär auf die Betonung geachtet, ansonsten hatte ich keine Strategie"
"2","d3862cd2","ARF74Y","","","wenn tiefer stimmenkling zum silbenende eher aggressiv wütend konnotiert"
"3","0f0a3354","EHM58L","","",""
"4","fd7ea2ec","AIB33L","","War alles klar","Manche klangen, als würden sie jemanden rufen, der etwas angestellt hat. Die hab ich wütend verortet. Alle Stimmen, die am Ende hochgehen, wie bei einer Frage, aber nicht wie gerufen klingen hab ich als ängstlich bezeichnet."
"5","da06716e","NNB72L","","",""
"6","af85a6df","NANA","Isabell ","","Ich hatte das Gefühl, die Stimmen, die bei dem roten Kreuz kamen waren jeweils einmal wütend und einmal ängstlich. Ich habe versucht mich danach zu richten. "
"7","d202d111","NOB70E","","-alle Instruktionen verständlich ~~-keine Fragen ","-ich habe mir die Person, die das Pseudowort ausspricht vorgestellt und mit überlegt ob eine ängstlche oder wütende Situation besser passen würde ~~-ich habe versucht auf die Klangfarbe zu achten, aber das traf nicht immer zu "
"8","05e69165","IGS08A","Ich fand die Einschätzung bei den weiblichen Stimuli um einiges schwieriger","",""
"9","1df94405","OIK84T","","",""
"10","74782425","AWH59H","","nein","augen zu machen hat geholfen~~bei neutralen tiefen Stimmen habe ich eher wütend geklickt und bei neutralen hohen stimmen eher ängstlich (--> geschlechtsbezogene Sozialisation)"
"11","f374a6ea","EIE49E","","Intruktionen waren deutlich, wurden oft genug wiederholt","Ich habe auf Tonlage und Geschwindigkeit geachtet, für mich klangen die Wörter nach kurzer Zeit zum Teil wie Namen und ich habe versucht raus zuhören ob die Person eher ängstlich/leidend klingt oder forsch wütend würde er oder sie grade einen Namen aussprechen"
"12","2de9d694","ETL68O","","war alles verständlich","an der Betonung bzw. Aussprache der Vokale orientiert"
"13","59783c7d","OUW08A","sehr positive Instruktionen, sodass man gleich viel Spaß an der Teilnahme hatte","alles sehr selbsterklärend; 2. Instruktion während des Hauptteils nicht zwingend nötig; etwas unklar, wann Hauptdurchgang beginnt, da 2 Übungsdurchgänge ","abhängig davon, was ich vorher gedrückt habe die neutral klingenden Stimmen bewertet"
"14","e127f7aa","NIL49U","","",""
"15","6d73936b","NANA","Selin ","Die Instruktionen waren verständlich. ","Ich habe Stimmen, die zum Ende des Wortes höher wurden, als ängstlich eingestuft und sicher klingende Stimmen als wütend. Letzteres manchmal nicht, weil sie wütend klangen, sondern einfach, weil sie nicht-ängstlich klangen."
"16","8bbc17b6","ISH17N","","manche Stimmen kamen zweimal hintereinander genau gleich","klang es fragend -> ängstlich~~klang es fordernd -> wütend"
"17","ce9acf49","ATB58E","war extrem lang und sehr monoton, macht leider kein spaß ","-","-"
"18","d671c236","ALE19E","","Instruktionen waren verständlich! ","Leiser und länger gesprochenes war für mich eher ängstlich konnotiert. Fand es aber äußerst schwierig, da Wut ja oft auch auf Angst basiert? "
"19","9a26bd03","EAB11V","Das Feld ""Bitte reagieren sie schneller"" kam meiner Meinung nach zu schnell und hat dafür gesorgt, dass man sich mehr auf die Reaktionszeit als auf die eigntliche Bewertung der Stimmen fokussiert. ","- anfangs konnte ich nicht genau einschätzen, wie viel Zeit man zum reagieren hat~~- der Rest war sehr verständlich","- im Laufe des Experiments habe ich immer mehr den Fokus auf die Stimmen gelegt als auf meine Reaktionszeit~~- meine bewertung hat sich nach dem gefühl, welches die Stimme ausgedrückt hat, gerichtet "
"20","a6c26fc3","ERN17I","","es war alles verständlich","manchmal habe ich versucht, mir die Stimmen in einem bestimmten Szenario vorzustellen und Gesichtsausdürcke zu visualisieren"
"21","5b1f820f","OLN74H","","DIe Instruktionen waren klar formuliert und verständlich.","Ich habe nur diejenigen Stimmen als ängstlich klassifiziert, die offensichtlich ängstlich klangen. Bei allen anderen, also auch denen bei denen ich mir mitunter unsicher war (viele Stimmen hätten meinem Eindruck nach sowohl ängstlich als auch wütend sein können), habe ich wütend angegeben."
"22","b00b7309","AIB48I","","ja waren verständlich nur ich hab immer schneller geklickt als man konnte und dann war es verzägert",""
"23","9f782d9f","RLL27E","","es war alles verständlich",""
"24","2586212e","IIB10A","","alles war verständlich und kam mir so wie gewollt vor","wenn stimmen neutral klangen habe ich sie eher mit wütend assoziiert als ängstlich"
